GOAL-Flight Delay;Year;Month;DayofMonth;DayOfWeek;DepTime;CRSDepTime;ArrTime;CRSArrTime;UniqueCarrier;FlightNum;TailNum;ActualElapsedTime;CRSElapsedTime;AirTime;DepDelay;Origin;Dest;Distance;TaxiIn;TaxiOut;Cancelled;Diverted;CarrierDelay;WeatherDelay;NASDelay;SecurityDelay;LateAircraftDelay
-10.0;2007;2;23;5;756.0;803;931.0;941;OO;6393;N916SW;155.0;158.0;137.0;-7.0;ABQ;SFO;896;4;14;0;0;0;0;0;0;0
-13.0;2007;11;9;5;1140.0;1150;1257.0;1310;OO;5476;N569SW;77.0;80.0;61.0;-10.0;ACV;SFO;250;4;12;0;0;0;0;0;0;0
10.0;2007;9;9;7;2142.0;2125;2237.0;2227;OO;4028;N608SK;115.0;122.0;94.0;17.0;SLC;SFO;599;5;16;0;0;0;0;0;0;0
-16.0;2007;10;4;4;706.0;710;921.0;937;UA;831;N652UA;255.0;267.0;230.0;-4.0;ORD;SFO;1846;5;20;0;0;0;0;0;0;0
8.0;2007;9;17;1;600.0;600;720.0;712;OO;5619;N290SW;80.0;72.0;51.0;0.0;RDD;SFO;199;4;25;0;0;0;0;0;0;0
19.0;2007;12;15;6;1341.0;1315;1514.0;1455;9 F;659;N808FR;153.0;160.0;138.0;26.0;DEN;SFO;967;6;9;0;0;19;0;0;0;0
7.0;2007;9;20;4;1250.0;1250;2100.0;2053;UA;62;N545UA;310.0;303.0;294.0;0.0;LIH;SFO;2447;7;9;0;0;0;0;0;0;0
9.0;2007;2;9;5;559.0;600;650.0;641;OO;6359;N934SW;111.0;101.0;95.0;-1.0;BOI;SFO;522;6;10;0;0;0;0;0;0;0
-3.0;2007;5;8;2;1052.0;1100;1217.0;1220;UA;857;N379UA;85.0;80.0;53.0;-8.0;LAX;SFO;337;19;13;0;0;0;0;0;0;0
5.0;2007;7;2;1;959.0;944;1157.0;1152;DL;649;N139DL;298.0;308.0;271.0;15.0;ATL;SFO;2139;7;20;0;0;0;0;0;0;0
-4.0;2007;3;8;4;1724.0;1725;1924.0;1928;NW;357;N537US;240.0;243.0;219.0;-1.0;MSP;SFO;1589;5;16;0;0;0;0;0;0;0
40.0;2007;2;8;4;1631.0;1603;1821.0;1741;OO;6416;N929SW;170.0;158.0;152.0;28.0;ABQ;SFO;896;8;10;0;0;0;0;40;0;0
-16.0;2007;1;12;5;1221.0;1219;1411.0;1427;AS;354;N771AS;110.0;128.0;92.0;2.0;SEA;SFO;679;6;12;0;0;0;0;0;0;0
3.0;2007;10;10;3;959.0;955;1118.0;1115;XE;7828;N10575;79.0;80.0;58.0;4.0;LAX;SFO;337;4;17;0;0;0;0;0;0;0
40.0;2007;7;10;2;1624.0;1610;1959.0;1919;US;650;N674AW;395.0;369.0;316.0;14.0;PHL;SFO;2521;7;72;0;0;14;0;26;0;0
11.0;2007;9;21;5;711.0;710;948.0;937;UA;831;N644UA;277.0;267.0;250.0;1.0;ORD;SFO;1846;14;13;0;0;0;0;0;0;0
-10.0;2007;2;18;7;713.0;715;824.0;834;UA;885;N411UA;71.0;79.0;55.0;-2.0;LAX;SFO;337;3;13;0;0;0;0;0;0;0
-4.0;2007;5;5;6;1655.0;1650;1753.0;1757;OO;6226;N393SW;58.0;67.0;44.0;5.0;RDD;SFO;199;7;7;0;0;0;0;0;0;0
77.0;2007;12;6;4;1826.0;1750;2241.0;2124;UA;179;N556UA;435.0;394.0;414.0;36.0;BOS;SFO;2704;8;13;0;0;0;0;77;0;0
-6.0;2007;12;20;4;659.0;704;827.0;833;UA;1431;N440UA;88.0;89.0;72.0;-5.0;LAS;SFO;414;6;10;0;0;0;0;0;0;0
3.0;2007;7;31;2;1312.0;1307;1453.0;1450;UA;117;N913UA;101.0;103.0;85.0;5.0;PDX;SFO;550;5;11;0;0;0;0;0;0;0
37.0;2007;10;25;4;940.0;838;1204.0;1127;UA;871;N675UA;324.0;349.0;295.0;62.0;IAD;SFO;2419;9;20;0;0;37;0;0;0;0
-16.0;2007;3;12;1;1128.0;1137;1217.0;1233;OO;6199;N292SW;49.0;56.0;37.0;-9.0;FAT;SFO;158;4;8;0;0;0;0;0;0;0
15.0;2007;4;15;7;1613.0;1601;1720.0;1705;OO;6254;N301YV;67.0;64.0;47.0;12.0;SBP;SFO;191;3;17;0;0;0;0;0;0;15
-1.0;2007;8;6;1;2000.0;2006;2139.0;2140;OO;5647;N293SW;99.0;94.0;86.0;-6.0;MFR;SFO;329;4;9;0;0;0;0;0;0;0
-20.0;2007;3;13;2;1209.0;1214;1406.0;1426;NW;345;N502US;297.0;312.0;280.0;-5.0;DTW;SFO;2079;6;11;0;0;0;0;0;0;0
12.0;2007;9;13;4;2046.0;2037;2217.0;2205;UA;423;N565UA;151.0;148.0;134.0;9.0;DEN;SFO;967;3;14;0;0;0;0;0;0;0
121.0;2007;10;16;2;2028.0;1850;23.0;2222;B6;647;N630JB;235.0;212.0;179.0;98.0;JFK;SFO;2586;8;48;0;0;0;0;121;0;0
23.0;2007;10;19;5;2051.0;2052;2202.0;2139;OO;5597;N297SW;71.0;47.0;46.0;-1.0;SMF;SFO;86;2;23;0;0;23;0;0;0;0
1.0;2007;2;2;5;1810.0;1805;1941.0;1940;UA;1431;N475UA;91.0;95.0;67.0;5.0;LAS;SFO;414;6;18;0;0;0;0;0;0;0
78.0;2007;7;10;2;1428.0;1313;1504.0;1346;OO;5680;N218SW;36.0;33.0;19.0;75.0;MRY;SFO;77;9;8;0;0;0;0;0;0;78
8.0;2007;2;17;6;924.0;917;1101.0;1053;UA;853;N435UA;97.0;96.0;63.0;7.0;SAN;SFO;447;6;28;0;0;0;0;0;0;0
15.0;2007;2;16;5;638.0;639;813.0;758;OO;6369;N906SW;155.0;139.0;141.0;-1.0;TUS;SFO;751;4;10;0;0;15;0;0;0;0
-19.0;2007;11;22;4;737.0;744;840.0;859;OO;5529;N295SW;63.0;75.0;46.0;-7.0;RDD;SFO;199;4;13;0;0;0;0;0;0;0
24.0;2007;6;3;7;1814.0;1815;2052.0;2028;US;1260;N758US;338.0;313.0;310.0;-1.0;PIT;SFO;2254;5;23;0;0;0;0;24;0;0
-2.0;2007;11;26;1;1055.0;1043;1128.0;1130;OO;6382;N924SW;93.0;107.0;80.0;12.0;BOI;SFO;522;5;8;0;0;0;0;0;0;0
-10.0;2007;7;31;2;714.0;720;842.0;852;OO;6379;N715SK;208.0;212.0;190.0;-6.0;SAT;SFO;1482;4;14;0;0;0;0;0;0;0
-15.0;2007;9;5;3;2108.0;2110;2230.0;2245;WN;839;N233LV;82.0;95.0;68.0;-2.0;LAS;SFO;414;5;9;0;0;0;0;0;0;0
28.0;2007;5;4;5;930.0;927;1200.0;1132;NW;343;N530US;330.0;305.0;307.0;3.0;DTW;SFO;2079;3;20;0;0;0;0;28;0;0
22.0;2007;8;9;4;1807.0;1800;2152.0;2130;UA;95;N818UA;405.0;390.0;355.0;7.0;EWR;SFO;2565;6;44;0;0;0;0;22;0;0
5.0;2007;7;31;2;1000.0;958;1120.0;1115;OO;6343;N766SK;80.0;77.0;57.0;2.0;SNA;SFO;372;7;16;0;0;0;0;0;0;0
5.0;2007;9;6;4;1551.0;1548;1706.0;1701;OO;6397;N776SK;75.0;73.0;57.0;3.0;ONT;SFO;363;5;13;0;0;0;0;0;0;0
86.0;2007;9;11;2;1213.0;1053;1306.0;1140;OO;5641;N301YV;53.0;47.0;31.0;80.0;SMF;SFO;86;16;6;0;0;0;0;0;0;86
133.0;2007;3;23;5;1554.0;1345;1727.0;1514;US;473;N812AW;93.0;89.0;66.0;129.0;LAS;SFO;414;7;20;0;0;8;0;4;0;121
-2.0;2007;5;4;5;1810.0;1815;1943.0;1945;9 F;661;N802FR;153.0;150.0;135.0;-5.0;DEN;SFO;967;6;12;0;0;0;0;0;0;0
-3.0;2007;6;15;5;1310.0;1306;1446.0;1449;UA;117;N373UA;96.0;103.0;83.0;4.0;PDX;SFO;550;4;9;0;0;0;0;0;0;0
97.0;2007;4;19;4;1934.0;1754;2145.0;2008;AS;498;N796AS;131.0;134.0;111.0;100.0;SEA;SFO;679;6;14;0;0;0;0;97;0;0
-9.0;2007;1;14;7;2029.0;2030;2141.0;2150;AA;1446;N516AA;72.0;80.0;54.0;-1.0;LAX;SFO;337;4;14;0;0;0;0;0;0;0
25.0;2007;12;13;4;1741.0;1730;2055.0;2030;UA;937;N657UA;374.0;360.0;331.0;11.0;IAD;SFO;2419;7;36;0;0;11;0;14;0;0
-6.0;2007;5;13;7;1333.0;1340;1412.0;1418;OO;6380;N971SW;99.0;98.0;87.0;-7.0;BOI;SFO;522;4;8;0;0;0;0;0;0;0
-6.0;2007;9;12;3;808.0;810;1104.0;1110;AA;431;N383AA;356.0;360.0;339.0;-2.0;MIA;SFO;2585;3;14;0;0;0;0;0;0;0
-29.0;2007;5;20;7;821.0;810;1053.0;1122;US;939;N117UW;332.0;372.0;318.0;11.0;PHL;SFO;2521;4;10;0;0;0;0;0;0;0
-8.0;2007;3;13;2;1730.0;1725;1922.0;1930;UA;1237;N913UA;112.0;125.0;97.0;5.0;SEA;SFO;679;5;10;0;0;0;0;0;0;0
5.0;2007;1;8;1;1742.0;1745;2130.0;2125;AA;177;N338AA;408.0;400.0;341.0;-3.0;JFK;SFO;2586;23;44;0;0;0;0;0;0;0
-19.0;2007;2;17;6;1829.0;1830;2049.0;2108;UA;863;N598UA;260.0;278.0;245.0;-1.0;ORD;SFO;1846;3;12;0;0;0;0;0;0;0
-15.0;2007;7;21;6;1533.0;1543;1723.0;1738;UA;1437;N448UA;110.0;115.0;90.0;-10.0;PHX;SFO;651;5;15;0;0;0;0;0;0;0
12.0;2007;7;15;7;1907.0;1850;2053.0;2041;NW;363;N353NW;226.0;231.0;206.0;17.0;MSP;SFO;1589;4;16;0;0;0;0;0;0;0
81.0;2007;1;26;5;1649.0;1525;1803.0;1642;OO;6172;N226SW;74.0;77.0;62.0;84.0;SBA;SFO;262;5;7;0;0;0;0;81;0;0
19.0;2007;5;26;6;702.0;710;1000.0;941;UA;842;N661UA;298.0;271.0;251.0;-8.0;ORD;SFO;1846;15;32;0;0;0;0;19;0;0
20.0;2007;10;10;3;2038.0;2037;2225.0;2205;UA;423;N533UA;167.0;148.0;135.0;1.0;DEN;SFO;967;7;25;0;0;0;0;20;0;0
-41.0;2007;11;2;5;1808.0;1808;2058.0;2139;UA;189;N852UA;350.0;391.0;328.0;0.0;PHL;SFO;2521;6;16;0;0;0;0;0;0;0
5.0;2007;7;12;4;609.0;610;757.0;752;UA;707;N377UA;108.0;102.0;91.0;-1.0;PDX;SFO;550;5;12;0;0;0;0;0;0;0
-10.0;2007;1;17;3;910.0;915;1237.0;1247;UA;9;N532UA;387.0;392.0;357.0;-5.0;JFK;SFO;2586;5;25;0;0;0;0;0;0;0
9.0;2007;10;1;1;1239.0;1223;1333.0;1324;OO;5737;N216SW;54.0;61.0;42.0;16.0;CIC;SFO;153;4;8;0;0;0;0;0;0;0
-7.0;2007;6;9;6;826.0;825;1147.0;1154;DL;1881;N3758Y;381.0;389.0;342.0;1.0;JFK;SFO;2586;8;31;0;0;0;0;0;0;0
23.0;2007;7;17;2;1150.0;1118;1238.0;1215;DL;537;N3746H;108.0;117.0;87.0;32.0;SLC;SFO;599;7;14;0;0;0;0;23;0;0
4.0;2007;8;10;5;1710.0;1707;1757.0;1753;OO;5645;N270YV;47.0;46.0;32.0;3.0;SMF;SFO;86;7;8;0;0;0;0;0;0;0
1.0;2007;4;10;2;1242.0;1243;1405.0;1404;UA;808;N428UA;83.0;81.0;57.0;-1.0;LAX;SFO;337;6;20;0;0;0;0;0;0;0
47.0;2007;2;21;3;934.0;900;1215.0;1128;CO;555;N36247;341.0;328.0;313.0;34.0;CLE;SFO;2161;8;20;0;0;34;0;13;0;0
55.0;2007;5;22;2;1424.0;1348;1557.0;1502;OO;6248;N215SW;93.0;74.0;67.0;36.0;SBA;SFO;262;9;17;0;0;55;0;0;0;0
-10.0;2007;11;25;7;1810.0;1809;1930.0;1940;UA;190;N405UA;80.0;91.0;60.0;1.0;SNA;SFO;372;9;11;0;0;0;0;0;0;0
78.0;2007;6;30;6;1355.0;1228;2136.0;2018;UA;74;N211UA;281.0;290.0;264.0;87.0;HNL;SFO;2398;2;15;0;0;78;0;0;0;0
11.0;2007;1;7;7;1003.0;951;1209.0;1158;UA;729;N562UA;126.0;127.0;102.0;12.0;SEA;SFO;679;7;17;0;0;0;0;0;0;0
5.0;2007;7;10;2;1955.0;2006;2145.0;2140;OO;5647;N284YV;110.0;94.0;93.0;-11.0;MFR;SFO;329;6;11;0;0;0;0;0;0;0
13.0;2007;10;14;7;1759.0;1745;2123.0;2110;CO;348;N33284;384.0;385.0;346.0;14.0;EWR;SFO;2565;7;31;0;0;0;0;0;0;0
-4.0;2007;12;26;3;1353.0;1355;1526.0;1530;WN;488;N394SW;93.0;95.0;74.0;-2.0;LAS;SFO;414;5;14;0;0;0;0;0;0;0
7.0;2007;4;9;1;1759.0;1805;2137.0;2130;UA;95;N527UA;398.0;385.0;351.0;-6.0;EWR;SFO;2565;4;43;0;0;0;0;0;0;0
2.0;2007;6;20;3;1801.0;1757;1925.0;1923;AS;157;N619AS;84.0;86.0;65.0;4.0;SAN;SFO;447;5;14;0;0;0;0;0;0;0
36.0;2007;6;7;4;2307.0;2220;12.0;2336;UA;816;N507UA;65.0;76.0;50.0;47.0;LAX;SFO;337;5;10;0;0;6;0;0;0;30
-5.0;2007;1;10;3;552.0;600;738.0;743;UA;739;N350UA;166.0;163.0;143.0;-8.0;DEN;SFO;967;6;17;0;0;0;0;0;0;0
20.0;2007;12;22;6;1511.0;1438;1705.0;1645;UA;989;N817UA;114.0;127.0;99.0;33.0;SEA;SFO;679;4;11;0;0;4;0;0;0;16
13.0;2007;9;30;7;1746.0;1725;2027.0;2014;UA;915;N671UA;341.0;349.0;317.0;21.0;IAD;SFO;2419;6;18;0;0;0;0;0;0;0
-7.0;2007;7;29;7;757.0;800;1112.0;1119;UA;893;N502UA;375.0;379.0;327.0;-3.0;JFK;SFO;2586;13;35;0;0;0;0;0;0;0
16.0;2007;12;12;3;1603.0;1530;1831.0;1815;AA;1835;N564AA;268.0;285.0;250.0;33.0;ORD;SFO;1846;7;11;0;0;16;0;0;0;0
39.0;2007;11;19;1;832.0;835;1244.0;1205;CO;548;N37273;432.0;390.0;372.0;-3.0;EWR;SFO;2565;7;53;0;0;0;0;39;0;0
18.0;2007;8;23;4;755.0;800;1033.0;1015;AA;1063;N5DWAA;278.0;255.0;254.0;-5.0;ORD;SFO;1846;5;19;0;0;0;0;18;0;0
-18.0;2007;1;3;3;650.0;700;805.0;823;AS;583;N617AS;75.0;83.0;58.0;-10.0;LAX;SFO;337;7;10;0;0;0;0;0;0;0
21.0;2007;6;7;4;2145.0;2150;608.0;547;NW;222;N583NW;323.0;297.0;298.0;-5.0;HNL;SFO;2398;5;20;0;0;0;0;21;0;0
-21.0;2007;10;11;4;1125.0;1130;1414.0;1435;CO;1672;N78501;349.0;365.0;328.0;-5.0;EWR;SFO;2565;8;13;0;0;0;0;0;0;0
-9.0;2007;10;10;3;557.0;600;719.0;728;OO;6401;N713SK;82.0;88.0;65.0;-3.0;EUG;SFO;451;6;11;0;0;0;0;0;0;0
7.0;2007;3;20;2;953.0;951;1054.0;1047;OO;6195;N562SW;61.0;56.0;44.0;2.0;FAT;SFO;158;5;12;0;0;0;0;0;0;0
65.0;2007;8;9;4;1613.0;1504;1752.0;1647;UA;873;N309UA;99.0;103.0;82.0;69.0;PDX;SFO;550;6;11;0;0;10;0;0;0;55
1.0;2007;7;25;3;800.0;800;1016.0;1015;AA;1063;N5EPAA;256.0;255.0;236.0;0.0;ORD;SFO;1846;7;13;0;0;0;0;0;0;0
-16.0;2007;1;30;2;836.0;844;931.0;947;UA;1177;N337UA;115.0;123.0;97.0;-8.0;SLC;SFO;599;4;14;0;0;0;0;0;0;0
-3.0;2007;7;28;6;1720.0;1725;1755.0;1758;OO;5664;N232SW;35.0;33.0;20.0;-5.0;MRY;SFO;77;5;10;0;0;0;0;0;0;0
42.0;2007;2;21;3;819.0;745;1040.0;958;AS;202;N619AS;141.0;133.0;119.0;34.0;SEA;SFO;679;12;10;0;0;0;0;42;0;0
-5.0;2007;12;20;4;812.0;815;919.0;924;UA;1445;N497UA;127.0;129.0;108.0;-3.0;PHX;SFO;651;6;13;0;0;0;0;0;0;0
-11.0;2007;10;11;4;1555.0;1600;1734.0;1745;AA;1693;N4WVAA;219.0;225.0;199.0;-5.0;DFW;SFO;1464;2;18;0;0;0;0;0;0;0
2.0;2007;5;19;6;829.0;825;1200.0;1158;DL;1881;N6715C;391.0;393.0;355.0;4.0;JFK;SFO;2586;4;32;0;0;0;0;0;0;0
4.0;2007;9;16;7;1922.0;1916;2204.0;2200;UA;223;N834UA;342.0;344.0;319.0;6.0;IAD;SFO;2419;6;17;0;0;0;0;0;0;0
-21.0;2007;1;24;3;1808.0;1815;2027.0;2048;US;741;N723UW;319.0;333.0;287.0;-7.0;PIT;SFO;2254;3;29;0;0;0;0;0;0;0
96.0;2007;10;20;6;1105.0;935;1345.0;1209;US;1455;N177US;340.0;334.0;324.0;90.0;CLT;SFO;2296;6;10;0;0;0;0;6;0;90
-17.0;2007;2;13;2;1211.0;1218;1310.0;1327;UA;177;N818UA;59.0;69.0;44.0;-7.0;RNO;SFO;192;6;9;0;0;0;0;0;0;0
-16.0;2007;10;22;1;931.0;940;1025.0;1041;OO;5639;N295UX;54.0;61.0;43.0;-9.0;SBP;SFO;191;3;8;0;0;0;0;0;0;0
0.0;2007;6;2;6;1127.0;1120;1256.0;1256;UA;517;N534UA;149.0;156.0;128.0;7.0;DEN;SFO;967;7;14;0;0;0;0;0;0;0
53.0;2007;9;5;3;1841.0;1757;2016.0;1923;AS;341;N622AS;95.0;86.0;67.0;44.0;SAN;SFO;447;6;22;0;0;0;0;53;0;0
24.0;2007;12;4;2;555.0;555;706.0;642;OO;6359;N944SW;131.0;107.0;98.0;0.0;BOI;SFO;522;7;26;0;0;24;0;0;0;0
51.0;2007;11;4;7;2050.0;1955;2206.0;2115;WN;593;N236WN;76.0;80.0;57.0;55.0;LAX;SFO;337;5;14;0;0;0;0;7;0;44
60.0;2007;8;17;5;1759.0;1800;2230.0;2130;UA;95;N817UA;451.0;390.0;334.0;-1.0;EWR;SFO;2565;6;111;0;0;0;0;60;0;0
-29.0;2007;12;24;1;1601.0;1606;1746.0;1815;UA;552;N311UA;105.0;129.0;90.0;-5.0;SEA;SFO;679;5;10;0;0;0;0;0;0;0
52.0;2007;10;29;1;1744.0;1710;1917.0;1825;OO;5475;N578SW;93.0;75.0;71.0;34.0;ACV;SFO;250;4;18;0;0;0;0;52;0;0
-3.0;2007;6;21;4;1310.0;1317;1519.0;1522;UA;1167;N302UA;129.0;125.0;105.0;-7.0;SEA;SFO;679;2;22;0;0;0;0;0;0;0
-6.0;2007;4;13;5;911.0;915;1119.0;1125;AA;1049;N5DLAA;248.0;250.0;229.0;-4.0;STL;SFO;1736;6;13;0;0;0;0;0;0;0
-14.0;2007;8;17;5;714.0;730;845.0;859;AS;331;N623AS;91.0;89.0;61.0;-16.0;SAN;SFO;447;5;25;0;0;0;0;0;0;0
-25.0;2007;12;23;7;1925.0;1930;2102.0;2127;UA;280;N801UA;97.0;117.0;83.0;-5.0;PDX;SFO;550;5;9;0;0;0;0;0;0;0
20.0;2007;6;3;7;2011.0;2016;2150.0;2130;UA;1174;N914UA;99.0;74.0;76.0;-5.0;LAX;SFO;337;5;18;0;0;0;0;20;0;0
-6.0;2007;4;14;6;1322.0;1320;1549.0;1555;AA;1687;N4XHAA;267.0;275.0;239.0;2.0;ORD;SFO;1846;3;25;0;0;0;0;0;0;0
4.0;2007;9;23;7;1742.0;1745;2114.0;2110;AA;177;N323AA;392.0;385.0;326.0;-3.0;JFK;SFO;2586;4;62;0;0;0;0;0;0;0
29.0;2007;3;2;5;1829.0;1745;1949.0;1920;UA;1503;N445UA;80.0;95.0;62.0;44.0;LAS;SFO;414;4;14;0;0;0;0;0;0;29
-4.0;2007;9;3;1;2054.0;2055;2237.0;2241;DL;1859;N653DL;283.0;286.0;252.0;-1.0;CVG;SFO;2036;7;24;0;0;0;0;0;0;0
-4.0;2007;1;5;5;842.0;849;959.0;1003;OO;6187;N299SW;77.0;74.0;64.0;-7.0;BFL;SFO;238;4;9;0;0;0;0;0;0;0
-8.0;2007;8;28;2;1018.0;1018;1146.0;1154;UA;415;N936UA;148.0;156.0;133.0;0.0;DEN;SFO;967;4;11;0;0;0;0;0;0;0
3.0;2007;12;23;7;639.0;639;808.0;805;OO;5504;N293SW;89.0;86.0;63.0;0.0;SBA;SFO;262;18;8;0;0;0;0;0;0;0
-6.0;2007;4;24;2;1339.0;1345;1508.0;1514;US;473;N827AW;89.0;89.0;70.0;-6.0;LAS;SFO;414;4;15;0;0;0;0;0;0;0
3.0;2007;12;7;5;1607.0;1555;1726.0;1723;XE;7801;N14179;79.0;88.0;58.0;12.0;LAX;SFO;337;5;16;0;0;0;0;0;0;0
-3.0;2007;8;11;6;1312.0;1323;1457.0;1500;UA;1589;N458UA;105.0;97.0;68.0;-11.0;LAS;SFO;414;13;24;0;0;0;0;0;0;0
14.0;2007;2;10;6;1204.0;1155;1340.0;1326;OO;5966;N767SK;96.0;91.0;81.0;9.0;PSP;SFO;421;5;10;0;0;0;0;0;0;0
20.0;2007;1;6;6;1512.0;1507;1652.0;1632;UA;1212;N851UA;100.0;85.0;67.0;5.0;SNA;SFO;372;7;26;0;0;0;0;17;0;3
-18.0;2007;10;17;3;1705.0;1715;1802.0;1820;OO;5628;N220SW;57.0;65.0;49.0;-10.0;RDD;SFO;199;2;6;0;0;0;0;0;0;0
62.0;2007;10;19;5;1245.0;1147;1359.0;1257;OO;6456;N975SW;74.0;70.0;58.0;58.0;PMD;SFO;316;5;11;0;0;0;0;62;0;0
-1.0;2007;3;27;2;613.0;620;755.0;756;UA;1212;N342UA;102.0;96.0;79.0;-7.0;SAN;SFO;447;4;19;0;0;0;0;0;0;0
-9.0;2007;7;6;5;1746.0;1750;2056.0;2105;AA;177;N336AA;370.0;375.0;322.0;-4.0;JFK;SFO;2586;6;42;0;0;0;0;0;0;0
0.0;2007;2;19;1;828.0;832;1011.0;1011;UA;869;N782UA;163.0;159.0;129.0;-4.0;DEN;SFO;967;8;26;0;0;0;0;0;0;0
-22.0;2007;9;27;4;2041.0;2055;2151.0;2213;OO;5600;N393SW;70.0;78.0;56.0;-14.0;SBA;SFO;262;5;9;0;0;0;0;0;0;0
-4.0;2007;12;31;1;1320.0;1325;1449.0;1453;UA;752;N546UA;89.0;88.0;67.0;-5.0;SNA;SFO;372;8;14;0;0;0;0;0;0;0
-9.0;2007;6;2;6;739.0;744;851.0;900;UA;1283;N415UA;72.0;76.0;56.0;-5.0;LAX;SFO;337;5;11;0;0;0;0;0;0;0
-10.0;2007;6;18;1;1710.0;1718;1831.0;1841;AS;685;N626AS;81.0;83.0;65.0;-8.0;PSP;SFO;421;5;11;0;0;0;0;0;0;0
35.0;2007;12;16;7;1710.0;1630;1855.0;1820;AA;1693;N528AA;225.0;230.0;210.0;40.0;DFW;SFO;1464;4;11;0;0;0;0;2;0;33
32.0;2007;9;27;4;1455.0;1450;1840.0;1808;UA;181;N588UA;405.0;378.0;369.0;5.0;BOS;SFO;2704;6;30;0;0;0;0;32;0;0
-7.0;2007;3;12;1;1758.0;1808;1838.0;1845;OO;6236;N227SW;40.0;37.0;22.0;-10.0;MRY;SFO;77;5;13;0;0;0;0;0;0;0
