GOAL_Number of sales;Investment in TV advertising;Digital advertising;Radio advertising;Newspapers advertising;Magazines advertising;Out of Home advertising;Month;Year;Day;Season
10600;199.8;103.73;2.6;16.96;4.24;35;October;2001;Monday;fall
12700;266.2;206.18;2.9;34.4;8.6;40;December;2011;Thursday;fall
17400;265.6;115.73;20.0;0.27;0.03;40;October;2003;Wednesday;fall
7600;19.6;19.18;20.1;10.0;1.0;15;May;2015;Friday;spring
11300;77.3;57.15;20.3;29.25;3.25;30;November;2007;Thursday;fall
11300;92.35;85.3;20.5;14.64;3.66;35;July;2002;Monday;summer
15900;209.6;38.03;20.6;8.56;2.14;40;June;2010;Tuesday;spring
14500;164.5;50.12;20.9;10.0;1.0;15;April;2015;Wednesday;spring
15500;186.9;103.95;21.0;19.8;2.2;30;February;2009;Sunday;winter
15600;188.8;153.3;21.1;7.6;1.9;15;November;2013;Friday;fall
17600;253.8;79.19;21.3;10.0;1.0;15;May;2016;Sunday;spring
7000;19.8;37.84;21.7;40.32;10.08;40;February;2011;Tuesday;winter
16600;202.5;94.17;22.3;28.44;3.16;40;May;2004;Saturday;spring
14900;175.1;84.81;22.5;28.35;3.15;40;October;2004;Friday;fall
16600;198.6;160.0;23.3;11.36;2.84;15;September;2013;Sunday;summer
17100;216.4;106.98;23.6;46.08;11.52;15;January;2015;Thursday;winter
14600;185.29;85.3;23.9;15.28;3.82;35;August;2002;Thursday;summer
17400;265.49;117.18;24.0;3.2;0.8;35;December;2001;Saturday;fall
9500;31.5;35.76;24.6;1.98;0.22;20;July;2006;Saturday;summer
17000;215.4;116.12;24.6;11.79;1.31;30;March;2007;Thursday;winter
12900;90.3;62.7;25.5;66.06;7.34;30;May;2008;Thursday;spring
8500;25.1;33.57;25.7;38.97;4.33;40;September;2004;Wednesday;summer
10100;45.7;55.54;25.8;16.48;4.12;40;June;2013;Saturday;spring
9600;44.0;54.38;25.9;16.4;4.1;40;July;2012;Sunday;summer
11800;78.4;57.62;26.7;20.07;2.23;30;September;2007;Saturday;summer
10100;43.1;39.72;26.7;31.59;3.51;40;March;2004;Monday;winter
15500;142.3;121.54;26.8;36.96;9.24;40;January;2011;Saturday;winter
19800;255.4;40.66;26.9;4.4;1.1;40;February;2010;Monday;winter
18900;358.32;62.8;27.1;18.32;4.58;40;May;2003;Thursday;spring
5700;9.4;32.17;27.2;1.68;0.42;40;January;2012;Sunday;winter
18900;237.4;106.1;27.5;9.9;1.1;20;September;2006;Friday;summer
12000;78.3;57.58;27.5;14.4;1.6;30;March;2008;Saturday;winter
18000;269.9;85.3;27.7;42.72;10.68;35;September;2002;Sunday;summer
20700;293.6;125.29;27.7;1.62;0.18;40;July;2004;Thursday;summer
5500;7.3;27.49;28.1;37.26;4.14;20;September;2005;Thursday;summer
21400;292.9;125.05;28.3;38.88;4.32;40;July;2003;Tuesday;summer
14200;122.5;76.45;28.5;12.78;1.42;30;June;2007;Friday;spring
17300;191.1;65.8;28.7;10.0;1.0;15;August;2016;Monday;summer
20200;262.7;114.74;28.8;14.31;1.59;20;July;2005;Friday;summer
20800;274.7;211.99;28.9;47.76;11.94;40;June;2012;Friday;spring
15000;210.06;52.8;29.3;10.08;2.52;40;March;2003;Saturday;winter
18400;210.7;96.98;29.5;8.37;0.93;20;December;2005;Thursday;fall
14000;102.7;60.08;29.6;7.56;0.84;20;April;2006;Saturday;spring
5300;7.4;27.31;29.9;8.46;0.94;30;July;2007;Sunday;summer
11400;199.8;93.25;3.1;31.14;3.46;40;March;2005;Tuesday;winter
11500;222.4;62.48;3.4;10.0;1.0;15;July;2015;Wednesday;summer
11900;235.5;115.13;3.4;67.84;16.96;15;October;2014;Wednesday;fall
11700;199.6;109.38;3.5;5.31;0.59;30;January;2009;Thursday;winter
12000;322.85;52.8;3.5;15.6;3.9;35;February;2003;Saturday;winter
7600;38.2;33.16;3.7;10.0;1.0;15;April;2017;Saturday;spring
20200;248.4;68.03;30.2;10.0;1.0;15;September;2015;Tuesday;summer
18300;201.1;110.02;30.6;34.83;3.87;30;November;2006;Wednesday;fall
16900;165.3;94.73;31.6;47.61;5.29;30;December;2008;Monday;fall
19700;230.5;181.79;32.3;59.36;14.84;40;May;2011;Sunday;spring
11800;57.5;44.53;32.8;18.8;4.7;35;July;2001;Sunday;summer
19000;252.88;85.3;32.9;36.8;9.2;35;March;2002;Friday;winter
8800;28.8;36.44;33.0;17.37;1.93;30;January;2007;Monday;winter
20100;221.5;175.65;33.2;30.32;7.58;40;November;2012;Thursday;fall
17100;177.0;85.46;33.4;34.83;3.87;40;June;2004;Tuesday;spring
19400;219.7;117.96;33.5;53.1;5.9;30;September;2008;Monday;summer
19600;220.8;175.17;33.5;36.08;9.02;40;February;2012;Wednesday;winter
20700;238.2;39.67;34.3;4.24;1.06;30;September;2009;Tuesday;summer
15200;124.1;109.1;34.6;9.92;2.48;40;April;2011;Friday;spring
12600;75.1;30.31;35.0;42.16;10.54;40;August;2010;Sunday;summer
9200;38.32;117.18;35.1;52.72;13.18;35;January;2002;Tuesday;winter
19200;194.7;157.34;35.4;60.48;15.12;40;October;2012;Monday;fall
17300;149.7;56.96;35.6;10.0;1.0;15;March;2017;Wednesday;winter
13300;86.7;83.55;35.8;39.44;9.86;15;June;2014;Sunday;spring
23800;296.4;43.01;36.3;80.72;20.18;30;June;2009;Monday;spring
22200;252.9;132.13;36.5;65.07;7.23;30;October;2008;Wednesday;fall
12500;90.68;85.3;36.6;91.2;22.8;35;May;2002;Wednesday;spring
18000;164.5;136.7;36.8;5.92;1.48;15;August;2014;Friday;summer
7300;12.7;32.99;36.9;36.16;9.04;15;March;2014;Saturday;winter
15900;125.7;35.73;36.9;63.36;15.84;40;November;2010;Monday;fall
8000;18.9;22.64;37.6;17.28;4.32;15;November;2014;Saturday;fall
21500;228.0;102.88;37.7;28.8;3.2;40;April;2004;Thursday;spring
22100;230.1;112.18;37.8;55.36;13.84;35;January;2001;Monday;winter
21800;241.7;39.87;38.0;18.56;4.64;40;April;2010;Thursday;spring
10800;37.9;50.21;38.6;52.48;13.12;40;March;2012;Thursday;winter
6600;8.8;31.66;38.9;40.48;10.12;40;July;2011;Friday;summer
9500;26.6;42.49;39.0;7.44;1.86;40;May;2012;Tuesday;spring
10400;44.5;30.76;39.3;36.08;9.02;35;February;2001;Thursday;winter
24400;344.87;85.3;39.6;44.64;11.16;35;June;2002;Saturday;spring
1600;1.7;25.6;39.6;6.96;1.74;40;November;2011;Tuesday;fall
19000;172.3;142.03;39.7;30.16;7.54;15;October;2013;Tuesday;fall
5900;17.2;28.67;4.1;10.0;1.0;15;January;2017;Sunday;winter
12300;241.8;127.39;4.1;33.21;3.69;30;October;2007;Monday;fall
12800;290.7;124.3;4.1;7.65;0.85;40;December;2003;Monday;fall
11700;222.4;38.77;4.3;39.84;9.96;30;May;2009;Friday;spring
9700;94.2;45.11;4.9;10.0;1.0;15;May;2017;Monday;spring
11200;136.3;82.35;4.9;8.37;0.93;30;July;2008;Tuesday;summer
10900;39.0;50.96;40.3;9.52;2.38;40;May;2013;Wednesday;spring
16000;112.7;72.27;40.6;56.88;6.32;30;April;2008;Tuesday;spring
10800;39.5;33.43;41.1;10.0;1.0;15;November;2016;Tuesday;fall
18500;151.5;77.28;41.3;46.8;11.7;35;April;2001;Sunday;spring
23200;239.9;106.95;41.5;16.65;1.85;40;December;2004;Wednesday;fall
22600;216.4;98.92;41.7;35.64;3.96;20;May;2005;Sunday;spring
17200;184.48;38.77;41.7;36.72;9.18;30;April;2009;Wednesday;spring
19600;166.8;60.61;42.0;10.0;1.0;15;February;2017;Wednesday;winter
25500;283.6;85.55;42.0;10.0;1.0;15;July;2017;Saturday;summer
25400;291.7;148.7;42.3;46.08;5.12;30;March;2009;Sunday;winter
24200;261.3;114.26;42.7;49.23;5.47;20;February;2006;Wednesday;winter
18000;131.1;69.78;42.8;26.01;2.89;20;May;2006;Monday;spring
26200;287.6;86.4;43.0;10.0;1.0;15;April;2016;Friday;spring
21700;215.5;116.16;43.0;30.42;3.38;30;January;2008;Tuesday;winter
15300;94.9;89.15;43.5;40.4;10.1;15;January;2014;Wednesday;winter
8700;18.9;32.22;43.7;80.46;8.94;30;April;2007;Sunday;spring
25400;266.9;116.17;43.8;4.5;0.5;40;January;2004;Thursday;winter
22300;216.8;99.06;43.9;24.48;2.72;20;October;2006;Sunday;fall
20700;185.9;151.32;43.9;1.36;0.34;40;August;2012;Wednesday;summer
13600;70.4;54.21;44.5;32.04;3.56;30;December;2007;Saturday;fall
22600;205.0;68.77;45.1;10.0;1.0;15;June;2016;Wednesday;spring
9300;17.2;19.64;45.9;55.44;13.86;35;March;2001;Thursday;winter
21200;182.6;87.38;46.2;52.83;5.87;20;June;2005;Wednesday;spring
19200;137.9;33.92;46.4;47.2;11.8;30;October;2009;Thursday;fall
14600;78.2;30.49;46.8;27.6;6.9;40;July;2010;Thursday;summer
11600;49.3;58.0;47.0;6.8;1.7;40;April;2012;Sunday;spring
22400;242.53;85.3;47.7;42.32;10.58;35;April;2002;Monday;spring
16700;111.8;71.88;47.8;46.26;5.14;30;June;2008;Sunday;spring
27000;276.9;74.12;48.9;10.0;1.0;15;August;2015;Saturday;summer
7200;8.7;16.86;48.9;60.0;15.0;35;June;2001;Friday;spring
24700;221.3;175.51;49.0;2.56;0.64;40;September;2011;Thursday;summer
25400;244.2;191.15;49.0;35.44;8.86;40;April;2013;Monday;spring
23700;198.9;92.94;49.4;54.0;6.0;20;August;2005;Monday;summer
14700;74.7;50.52;49.4;41.13;4.57;40;February;2004;Sunday;winter
23800;210.8;97.01;49.6;33.93;3.77;20;November;2005;Tuesday;fall
12500;292.51;85.3;5.1;18.8;4.7;35;October;2002;Tuesday;fall
12200;207.8;103.3;5.2;15.52;3.88;15;December;2014;Monday;fall
12200;218.5;71.65;5.4;10.0;1.0;15;February;2016;Monday;winter
8700;56.2;37.0;5.7;10.0;1.0;15;March;2016;Tuesday;winter
11000;131.4;80.25;5.7;28.17;3.13;30;February;2007;Thursday;winter
10400;105.6;96.46;5.7;27.52;6.88;40;December;2012;Saturday;fall
8600;88.66;117.18;5.8;19.36;4.84;35;November;2001;Thursday;fall
11700;168.4;50.95;7.1;10.0;1.0;15;June;2015;Monday;spring
13200;241.1;189.04;7.3;6.96;1.74;40;March;2013;Friday;winter
9700;126.02;85.3;7.6;5.76;1.44;35;February;2002;Friday;winter
11000;118.0;74.53;7.7;20.79;2.31;30;August;2007;Wednesday;summer
11700;170.2;51.34;7.8;10.0;1.0;15;October;2015;Thursday;fall
13400;225.8;38.96;8.2;45.2;11.3;40;March;2010;Monday;winter
11600;122.0;107.67;8.4;38.96;9.74;15;August;2013;Thursday;summer
12900;206.9;95.68;8.4;23.76;2.64;40;August;2004;Sunday;summer
13400;232.1;74.55;8.6;10.0;1.0;15;August;2017;Tuesday;summer
12800;177.0;62.79;9.3;10.0;1.0;15;June;2017;Thursday;spring
9300;69.0;48.57;9.3;0.81;0.09;20;June;2006;Thursday;spring
10700;100.4;59.3;9.6;3.24;0.36;40;April;2005;Friday;spring
10600;89.7;55.64;9.9;32.13;3.57;40;November;2004;Monday;fall
